Location,Price,Zone,City,Area
"LOTES EN VENTA SENDERO DEL FRESNO, BLVD.SAN FELIPE Nº300","MN 1,308,560",Rancho Colorado, Puebla,118 m²
Fraccionamiento Haras Puebla,"MN 630,000",Puebla Centro, Puebla,160 m²
MN 1 Mantenimiento,"MN 10,500,000",LA PAZ, REFORMA PUEBLA,"La Paz, Puebla"
Prolongación Hispanosuiza,"MN 7,000",La Calera, Puebla,370 m²
Haras flor del bosque,"MN 1,260,000",Centro, Puebla,700 m²
"Terreno en venta 280,504.73 m2 zona Periférico Ecológico, La Calera, Puebla .","MN 420,757,095",La Calera, Puebla,280504 m²
osa mayor,"MN 26,000",Zona comercial Angelopolis, Puebla,3629 m²
Haras Bosque de las Luces,"MN 960,000",Centro, Puebla,240 m²
Gordojuela 6,"MN 1,620,000",Moratilla, Puebla,216 m²
VENTA DE TERRENO SOBRE LA 25 ORIENTE - ZONA DORADA INCREIBLE UBICACIÓN FRENTE A PARQUE ESPAÑA!,"MN 9,000,000",Ladrillera de Benitez, Puebla,1497 m²
Vicente Guerrero 6,"MN 3,371,000",Ignacio Zaragoza, Puebla,635 m²
Error,Error,Error,Error,Error
Prolongación Hispanosuiza 200,"MN 3,584,000",La Calera, Puebla,512 m²
Avenida San José Xilotzingo 10513,"MN 16,900,000",Los Gavilanes, Puebla,2600 m²
17 Sur,"MN 3,840,000",Zona comercial Angelopolis, Puebla,438 m²
c pino,"MN 800,000",Lomas Flor del Bosque, Puebla,156 m²
farol,"MN 4,870,000",Santa Cruz Guadalupe, Puebla,487 m²
Camino a San Francisco,"MN 16,650,000",San José del Puente, Puebla,1511 m²
Calle Chabacanos 4509,"MN 24,200,000",Fraccionamiento Santa Cruz Buenavista, Puebla,2200 m²
Lazaro cardenas norte,"MN 1,980,000",San Bernabe Temoxtitla, Puebla,501 m²
Terreno EN Venta EN Boulevard 5 DE Mayo Puebla Centro],"MN 17,000,000",Puebla, Puebla,819 m²
Error,Error,Error,Error,Error
Terreno Comercial EN Venta Boulevard 15 DE Mayo Cerca Hermanos Serdan,"MN 30,925,500",Puebla, Puebla,4123 m²
Terreno EN Venta EN Periferico Ecologico AL Lado DE Fracionamiento Punta DEL SOL,"MN 128,884,000",Puebla, Puebla,36824 m²
El pedregal Residencial La Calera 0,"MN 3,529,000",La Calera, Puebla,512 m²
"Terreno en venta, zona 11 Sur, INVERSIONISTAS!, Mercado Independencia, Las Torres, Puebla .","MN 93,332,900",Fraccionamiento Ex-Hacienda Mayorazgo, Puebla,16666 m²
Error,Error,Error,Error,Error
Error,Error,Error,Error,Error
"Av. 16 Ote. 4817, Unidad Magisterial México 68, 72300 Puebla, Pue., México","MN 14,931,000",Unidad habitacional Unidad Magisterial México 68, Puebla,3318 m²
vicente guerrero 915,"MN 11,224,350",San Francisco Totimehuacan, Puebla,3741 m²
Club de Golf Las Fuentes,"MN 12,000,000",Club de Golf Las Fuentes, Puebla,870 m²
"Terreno en venta 5,012 m2, zona antigua Cementera, Galerías Serdán, Puebla. .","MN 42,608,341",Equipamiento Zona Cementos Atoyac, Puebla,5012 m²
"Terreno en venta, esquina 4,123 m2 Uso MIXTO, Cementera, Galerías Serdán, Puebla MAGNIFICA INVERSIÓN!!","MN 28,040,000",Equipamiento Zona Cementos Atoyac, Puebla,4123 m²
Error,Error,Error,Error,Error
Error,Error,Error,Error,Error
"Venta DE Terreno Industrial, Puebla, Espuela DE Ferrocarril","MN 70,000,000",16 de Septiembre Norte, Puebla,16200 m²
Error,Error,Error,Error,Error
PRIVADA 12 SUR,"MN 700,000",Héroes de Puebla, Puebla,200 m²
Error,Error,Error,Error,Error
periferico eco,"MN 691,000",Flor del Bosque, Puebla,144 m²
calzada loma,"MN 9,900",Real del Bosque, Puebla,101 m²
orizaba 131,"MN 7,800",Independencia, Puebla,970 m²
CALLE REY AZTECA 5001,"MN 612,480",La Calera, Puebla,96 m²
LA ESCONDIDA,"MN 13,500",Fraccionamiento La Escondida, Puebla,400 m²
35 sur 3909,"MN 6,900,000",Fraccionamiento Las Ánimas, Puebla,427 m²
"La Fortuna, Emiliano Zapata, 72810 Tlaxcalancingo, Pue.","MN 13,322,985",Fuentes Morillotla, Puebla,1567 m²
Paseo de Sevilla,"MN 2,399,000",Villa de Zavaleta, Puebla,292 m²
PROLONGACION HISPANOSUIZA,"MN 7,000",La Calera, Puebla,375 m²
45 sur colonia la paz,"MN 2,390,000",La Paz, Puebla,172 m²
avenida juarez,"MN 46,000,000",Zona Esmeralda, Puebla,2646 m²
9 ORIENTE,"MN 8,500,000",Rancho Azcarate, Puebla,900 m²
esmeralda,"MN 3,200,000",Villa Posadas, Puebla,375 m²
Bellas Artes,"MN 2,399,000",Villa de Zavaleta, Puebla,292 m²
blvd atlixco,"MN 25,000",Las Animas, Puebla,6500 m²
Calle Vicente Guerrero 6,"MN 665,500",Ignacio Zaragoza, Puebla,121 m²
Error,Error,Error,Error,Error
CARRETERA A SAN BALTAZAR TETELA,"MN 3,000",Pueblo San Baltazar Tetela, Puebla,857 m²
San Jerónimo caleras,"MN 8,000,000",San Jerónimo Caleras, Puebla,3850 m²
Calzada Ignacio Zaragoza,"MN 100,898,800",Adolfo López Mateos, Puebla,12772 m²
Priv. del Valle,"MN 6,720,000",Santa Cruz Buenavista, Puebla,638 m²
municipio libre y 13 sur,"MN 7,990",Ex-Rancho Vaquerías, Puebla,3946 m²
FRACC. ARBOLEDAS DEL PEDREGAL,"MN 1,035,000",San José Chapulco, Puebla,90 m²
Blvd. San Felipe,"MN 1,440,600",Ex-Rancho Colorado, Puebla,120 m²
Error,Error,Error,Error,Error
Calle 117 Oriente al 12083,"MN 725,000",Fraccionamiento Ex-Hacienda Chapulco, Puebla,158 m²
17 Sur #11701. Camino Antiguo Agua Santa. Lote 6,"MN 2,950,000",Puebla Centro, Puebla,438 m²
Error,Error,Error,Error,Error
BOULEVARD HARAS #7,"MN 1,450,000",Fraccionamiento Álamo, Puebla,300 m²
Error,Error,Error,Error,Error
Avenida Lázaro Cárdenas,"MN 3,200,000",San Lorenzo, Puebla,850 m²
yermo y parres,"MN 19,200,000",Residencial Puebla, Puebla,6000 m²
lomas del marmol,"MN 3,000,000",Lomas del MArmol, Puebla,728 m²
Momoxpan,"MN 8,112,000",Residencial Zavaleta (Momoxpan), Puebla,1040 m²
Club de golf Las fuentes 2a sección,"MN 6,373,500",Club de Golf Las Fuentes, Puebla,607 m²
Hacienda San Miguel,"MN 2,950,000",Barrio San Miguel, Puebla,438 m²
Ex Hacienda de Chapulco,"MN 4,500",Granjas Puebla, Puebla,699 m²
Ex Hacienda de Chapulco,"MN 4,500",Granjas del Sur, Puebla,852 m²
Los Gavilanes 50,"MN 19,500,000",Los Gavilanes, Puebla,3340 m²
AV. DEL Trabajo 8,"MN 3,977,600",Villa Albertina, Puebla,1760 m²
Haras del Bosque,"MN 2,250,000",Flor del Bosque, Puebla,800 m²
"De la Prolongación Calle 20 Lote 1 Reserva Territorial Atlixcáyotl,","MN 6,800,000",Concepción las Lajas, Puebla,680 m²
VICENTE GUERRERO PONIENTE,"MN 3,766,673",San Felipe Hueyotlipan, Puebla,823 m²
Carretera a Fábrica,"MN 5,664,000",Club de Golf Las Fuentes, Puebla,472 m²
Priv. Santa FE L 14,"MN 18,022,500",Santa Cruz Buenavista Norte, Puebla,1335 m²
Venta Terreno 12 SUR Puebla,"MN 1,400,000",Puebla, Puebla,400 m²
"Venta DE Terreno, Puebla, Boulevard Carmelitas","MN 7,640,000",Puebla, Puebla,1528 m²
Terreno en Venta en La Paz Puebla,"MN 6,000,000",La Paz, Puebla,300 m²
"Venta DE Terreno, DOS Frentes, 12 SUR Puebla","MN 700,000",Fraccionamiento Los Héroes de Puebla, Puebla,200 m²
Terreno en Venta en Zona Industrial Puebla 2000 Cerca del Estadio Cuauhtemoc Puebla,"MN 33,859,800",Ignacio Zaragoza, Puebla,5788 m²
Terreno en Venta en Zona Hermanos Serdan Puebla,"MN 52,380,000",Francisco I Madero, Puebla,13095 m²
"Prolongación, Av. Las Haras 3001, Haras Flor del Bosque, Puebla, Pue.","MN 642,600",Flor del Bosque, Puebla,153 m²
Geo villas San Francisco Puebla,"MN 16,654,075",Geo Villas Hacienda, Puebla,6861 m²
"CENTRO DE PUEBLA, TERRENO EN VENTA ,12 ORIENTE No. 18","MN 6,500,000",Centro, Puebla,721 m²
Carretera Federal Puebla Tlaxcala,"MN 2,250,000",Lomas de San Jerónimo, Puebla,591 m²
"Terreno en venta Valsequillo frente a laguna, Puebla .","MN 6,500,000",Oasis Valsequillo, Puebla,10732 m²
Terreno en Venta en Residencial Nobel La Recta a Cholula Puebla,"MN 1,740,000",Quetzalcoatl , Puebla,120 m²
Terreno en Venta en Boulevard Atlixco Puebla,"MN 68,900,000",Zona comercial Corredor Empresarial Boulevard Atlixco, Puebla,5300 m²
"LOTES EN VENTA, CUAUTLANCINGO, PUEBLA 0","MN 680,952",Fraccionamiento San Cristóbal Caleras (Tulcingo), Puebla,88 m²
"C. 109 OTE. Y PROLONGACIÓN DE LA 24 SUR, XILOTZINGO SAN JOSÉ XILOTZINGO, PUEBLA","MN 19,200,000",San Rafael Xilotzingo, Puebla,6000 m²
Terreno en Renta o Venta en San Jeronimo Caleras Puebla,"MN 25,000,000",San Jerónimo Caleras, Puebla,10000 m²
"Calle 6 Oriente No. 2010 Colonia Los Remedios, Puebla.","MN 2,800,000",Los Remedios, Puebla,575 m²
El Pedregal La Calera - Cluster 4 4,"MN 2,623,810",La Calera, Puebla,374 m²
El Pedregal La Calera - Cluster 1 1,"MN 3,584,000",La Calera, Puebla,512 m²
Terreno EN Venta EN Periferico Ecologico Frente A Fracionamiento Punta DEL SOL,"MN 96,386,500",Puebla, Puebla,27539 m²
"Terreno en venta 300 m2, en Col. La Paz, Puebla, Pue. .","MN 6,000,000",La Paz, Puebla,300 m²
"Terreno en venta con construcción en la av 11 sur, y Club de Golf Mayorazgo, Puebla .","MN 4,990,000",Campestre Mayorazgo, Puebla,375 m²
VENTA DE TERRENO EN BARRANCA HONDA A UN COSTADO DE LA CARRETERA FED PUEBLA - TLAXCALA,"MN 3,350,000",Barranca Honda, Puebla,945 m²
"Venta de Terrenos Fraccionamiento Moratilla, zona Carretera México-Puebla","MN 1,463,000",Fraccionamiento Moratilla, Puebla,154 m²
"Terreno en venta, actualmente Campo de Golf, zona Mayorazgo, 11 Sur, Puebla .","MN 349,965,000",Campestre Mayorazgo, Puebla,45000 m²
"Terreno en venta en Fraccionamiento las Animas, 1271 m2, Puebla .","MN 15,887,500",Fraccionamiento Las Ánimas, Puebla,1271 m²
"C. de la Era, San Francisco Totimehuacan, Puebla, Pue. sn","MN 917,039",Barrio Los Reyes (San Francisco Totimehuacan), Puebla,125 m²
V. SUAREZ 26,"MN 770,000",El Encinar, Puebla,500 m²
Las Haras 3001,"MN 1,037,700",Campestre Haras, Puebla,345 m²
Error,Error,Error,Error,Error
Terreno en Venta en Periferico Ecologico en San Francisco Totimehuacan Puebla,"MN 69,761,603",San Francisco Totimehuacan, Puebla,21139 m²
Calle 3 norte # 611,"MN 1,475,000",San Francisco Totimehuacan, Puebla,590 m²
"Lote en venta en Fraccionamiento Santa Cruz Guadalupe, Zavaleta, Puebla .","MN 9,500,000",Fraccionamiento Santa Cruz Guadalupe, Puebla,847 m²
Error,Error,Error,Error,Error
1,"MN 2,238,000",La Calera, Puebla,373 m²
Gordojuela 6,"MN 1,620,000",Moratilla, Puebla,216 m²
av. Costera,"MN 1,100,000",Oasis Valsequillo, Puebla,471 m²
Campestre del Valle,"MN 5,400,000",Campestre del Valle, Puebla,656 m²
Tehuacán,"MN 25,000,000",La Paz, Puebla,1190 m²
"TERRENO EN VENTA, ZONA ECO BUAP, SAN PEDRO ZACACHIMALPA, PUEBLA 0","MN 383,000",Pueblo San Pedro Zacachimalpa, Puebla,239 m²
"Blvd. Valsequillo, San Francisco Totimehuacán","MN 12,950,000",San Francisco Totimehuacan, Puebla,5268 m²
Error,Error,Error,Error,Error
La concepción buenavista,"MN 4,850,000",Fraccionamiento La Concepción, Puebla,350 m²
Lago de Chapala,"MN 440,000",Oasis Valsequillo, Puebla,352 m²
"San Felipe Hueyotlipan, Heroica Puebla de Zaragoza, Puebla","MN 3,763,377",San Felipe Hueyotlipan, Puebla,792 m²
RIVERA DEL ATOYAC,"MN 8,500",Bosques de Atoyac, Puebla,1431 m²
"Venta Terreno Centro Historico Calle 5 de Mayo, Zona de Monumentos","MN 12,000,000",Centro, Puebla,809 m²
centro,"MN 4,960,000",Barrio de Santiago, Puebla,479 m²
Priv.. Porfirio Diaz,"MN 5,500",Guadalupe Hidalgo, Puebla,101 m²
Av 2 Pte,"MN 6,000,000",La Paz, Puebla,300 m²
AV LAS HARAS 10,"MN 800,000",Campestre Haras, Puebla,400 m²
Alcatraz,"MN 5,881,056",Santa Lucia, Puebla,4901 m²
Error,Error,Error,Error,Error
"camino a la calera, 65","MN 2,000",La Calera, Puebla,79000 m²
Villa Albertina,"MN 1,957,000",Villa Albertina, Puebla,880 m²
Hacienda San Miguel Residencial,"MN 3,840,000",El Mayorazgo, Puebla,438 m²
Error,Error,Error,Error,Error
Santa Catarina,"MN 550,800",Santa Catarina, Puebla,324 m²
CALLE NARANJOS,"MN 10,200,000",Campestre del Valle, Puebla,1400 m²
"Terreno en venta 1511 m2 en Fracc, San José del Puente, zona Zavaleta, Puebla .","MN 16,630,000",San José del Puente, Puebla,1511 m²
7%,"MN 1,357,850",Parque chiapas, Lomas de Angelópolis,"Puebla, Puebla"
MN 700 Mantenimiento,"MN 1,503,125",La Antigua Cementera, Cementos Atoyac,"Campestre Rancho Colorado, Puebla"
"Calle hispano suiza 200, pedregal de la calera, puebla, puebla","MN 1,750,000",La Calera, Puebla,250 m²
"Avenida 135 Poniente 766, Guadalupe Hidalgo, Heroica Puebla de Zaragoza, Puebla","MN 22,660,000",Guadalupe Hidalgo, Puebla,10300 m²
2 Oriente,"MN 8,293,100",Unidad habitacional Del Valle (San Jerónimo Caleras), Puebla,1658 m²
Cerrada Rivera del Atoyac Manzana 5 Lote 1 y 2,"MN 8,000",Rivera del Atoyac, Puebla,1320 m²
CALLE AZAHARES 16119 COLONIA PLAYAS DEL SUR,"MN 1,153,600",El Pedregal, Puebla,411 m²
Calle17 sur,"MN 3,840,000",San Miguel, Puebla,438 m²
calle 7 sur y Av. 45 Poniente,"MN 13,500,000",Huexotitla, Puebla,891 m²
"Segunda privada Topoya, San Jerónimo Caleras, Puebla, Puebla.","MN 2,500,000",San Jerónimo Caleras, Puebla,1177 m²
"RCV6+86 Xalticpac, Puebla, México","MN 180,000",Puebla, Puebla,2400 m²
circuito surto #1 haras del bosque puebla,"MN 1,283,250",Puebla, Puebla,435 m²
Circuito de San Andrés,"MN 10,500",Club de golf Las Fuentes, Puebla,607 m²
SAN JOSE CHAPULCO,"MN 5,000,000",San José Chapulco, Puebla,2000 m²
San Ignacio Poniente,"MN 2,200,000",Arboledas San Ignacio, Puebla,275 m²
"85 Poniente, Retorno del Bayo Fracc. El Saucedal","MN 8,500",Fraccionamiento Ex-Hacienda Mayorazgo, Puebla,288 m²
"Calle 39 Poniente 101, Gabriel Pastor 1ra Sección, Puebla de Zaragoza, Puebla, México","MN 11,900,000",16 de Septiembre, Puebla,648 m²
Error,Error,Error,Error,Error
"Avenida Las Haras 3001, Francisco Javier Clavijero Puebla","MN 6,698,274",Francisco Javier Clavijero, Puebla,3044 m²
"Venta DE Terreno, Puebla, Ideal Fraccionamiento, Plusvalía","MN 5,000,000",Santa Cruz Buenavista, Puebla,2197 m²
C. de la Era SN,"MN 799,175",San José del Puente, Puebla,122 m²
C. de la Era SN,"MN 905,840",San José del Puente, Puebla,139 m²
C. de la Era SN,"MN 780,000",San José del Puente, Puebla,120 m²
C. de la Era SN,"MN 877,982",San José del Puente, Puebla,117 m²
"Calle 17 Sur, Ex Hacienda Mayorazgo, Puebla.","MN 2,949,930",Fraccionamiento Ex-Hacienda Mayorazgo, Puebla,480 m²
"Av 23 Pte 3326, Belisario Domínguez, 72180 Puebla, Pue.","MN 1,224,000",Centro, Puebla,122 m²
"Prolongación, Av. Las Haras 3001, Haras Flor del Bosque, Puebla, Pue.","MN 1,140,000",Campestre Haras, Puebla,300 m²
"Calle 49 Sur & Av 3 Pte La Paz 72160 Puebla, Pue.","MN 8,000",La Paz, Puebla,1630 m²
"Buenavista 2019, Camino Real a Cholula, 72154 Puebla, Pue.","MN 9,144,250",Buenavista, Puebla,731 m²
"Av Fuente de Trevi 24, San Rafael Poniente, 72029 Puebla, Pue.","MN 3,700,000",Club de golf Las Fuentes, Puebla,252 m²
"VENTA LOTE 200.07M2 RANCHO CHAPULCO, PERIFERICO AL SUR DE LA CIUDAD DE PUEBLA 0","MN 1,580,000",Fraccionamiento Rancho Chapulco, Puebla,200 m²
"TERRENO EN VENTA DE 800M2 EN EL ENCINAR, FRENTE HARAS CIUDAD ECOLOGICA, PUEBLA 0 Se vende todo o en partes","MN 1,280,000",San Diego Álamos, Puebla,800 m²
"Terreno en Venta en Hacienda San Miguel Residencial - Calle 100 Sur 11701, Camino Antiguo a Agua Santa, Lote 6, Ex-Hacienda Mayorazgo, Puebla","MN 2,950,000",Fraccionamiento Ex-Hacienda Mayorazgo, Puebla,438 m²
"Terreno en venta 22,880 m2, zona Atlixcáyotl y Periférico, junto Agencia Infiniti, Puebla .","USD 3,666,666",Zona comercial Corredeor Comercial Desarrollo Atlixcayotl, Puebla,22880 m²
Predio el Fortin,"MN 27,683,040",Puebla, Puebla,57673 m²
Prolongación Avenida de las Harás,"MN 3,520,300",Puebla, Puebla,749 m²
Antiguo Camino a San Lorenzo,"MN 1,656,600",Puebla, Puebla,500 m²
"Cam. a Ocotlán, Santa Barbara Almoloya, 72750 Cholula, Pue., México","MN 629,625",Puebla, Puebla,109 m²
"Calle 43 Pte. 107, Del Calvario, 73797 San Carlos, Pue., México","MN 1,200,000",Puebla, Puebla,1000 m²
Ares 33 Clúster Malta Lomas de Angelópolis 3,"MN 1,550,000",Puebla, Puebla,236 m²
Miguel Hidalgo,"MN 108,000,000",Puebla, Puebla,12000 m²
Terreno EN Venta EN Cadereyta Jimenez,"MN 16,770,000",Puebla, Puebla,430000 m²
Av. Vicente Guerrero,"MN 11,223,000",Puebla, Puebla,3741 m²
